Date,District,Rainfall_mm,Groundwater_Level_mbgl,Reservoir_Level_pct,Extraction Borewells,Recharge Borewells,Groundwater Stress Classification,Net Groundwater Change MLD,Groundwater Recovery MLD,Groundwater Extraction MLD
2/2/2020,Rajkot,0,16.34,34,385,26,Warning,-44.9,1.3,46.2
2/3/2020,Rajkot,0,17.89,44.4,385,26,Warning,-44.9,1.3,46.2
2/4/2020,Rajkot,0,18.15,40.1,385,26,Warning,-44.9,1.3,46.2
2/5/2020,Rajkot,0,17.75,42.7,385,26,Warning,-44.9,1.3,46.2
2/6/2020,Rajkot,0,18.33,35.8,385,26,Warning,-44.9,1.3,46.2
2/7/2020,Rajkot,0,18.27,38.6,385,26,Warning,-44.9,1.3,46.2
2/8/2020,Rajkot,0,18.55,44.4,385,26,Warning,-44.9,1.3,46.2
2/9/2020,Rajkot,0,18.64,38,385,26,Warning,-44.9,1.3,46.2
2/10/2020,Rajkot,1.8,19.02,38.9,385,26,Warning,-44.72,1.48,46.2
2/11/2020,Rajkot,0.5,17.97,37,385,26,Warning,-44.85,1.35,46.2
2/12/2020,Rajkot,0,18.15,36.2,385,26,Warning,-44.9,1.3,46.2
2/13/2020,Rajkot,0.7,18.48,34,385,26,Warning,-44.83,1.37,46.2
2/14/2020,Rajkot,0,19.66,41.1,385,26,Warning,-44.9,1.3,46.2
2/15/2020,Rajkot,0,18.66,33.5,385,26,Warning,-44.9,1.3,46.2
2/16/2020,Rajkot,0,17.96,37.2,385,26,Warning,-44.9,1.3,46.2
2/17/2020,Rajkot,0.1,18.66,33.8,385,26,Warning,-44.89,1.31,46.2
2/18/2020,Rajkot,0,18,46.9,385,26,Warning,-44.9,1.3,46.2
2/19/2020,Rajkot,0,19.27,36.5,385,26,Warning,-44.9,1.3,46.2
2/20/2020,Rajkot,0,19.27,33.7,385,26,Warning,-44.9,1.3,46.2
2/21/2020,Rajkot,0,18.8,44.6,385,26,Warning,-44.9,1.3,46.2
2/22/2020,Rajkot,0,19.94,34.8,385,26,Warning,-44.9,1.3,46.2
2/23/2020,Rajkot,0,18.87,35.3,385,26,Warning,-44.9,1.3,46.2
2/24/2020,Rajkot,0,18.84,36.1,385,26,Warning,-44.9,1.3,46.2
2/25/2020,Rajkot,1.3,19.95,37.4,385,26,Warning,-44.77,1.43,46.2
2/26/2020,Rajkot,0,18.78,24.6,385,26,Warning,-44.9,1.3,46.2
2/27/2020,Rajkot,0,18.71,40.2,385,26,Warning,-44.9,1.3,46.2
2/28/2020,Rajkot,0,20.03,41.1,385,26,Critical,-44.9,1.3,46.2
2/29/2020,Rajkot,0,19.54,36.4,385,26,Warning,-44.9,1.3,46.2
3/1/2020,Rajkot,0,18.51,38.9,385,26,Warning,-44.9,1.3,46.2
3/2/2020,Rajkot,0,18.81,23.4,385,26,Warning,-44.9,1.3,46.2
3/3/2020,Rajkot,0,19.08,34.4,385,26,Warning,-44.9,1.3,46.2
3/4/2020,Rajkot,0,18.98,39.3,385,26,Warning,-44.9,1.3,46.2
3/5/2020,Rajkot,0.7,20.18,39.5,385,26,Critical,-44.83,1.37,46.2
3/6/2020,Rajkot,0,19.47,46.3,385,26,Warning,-44.9,1.3,46.2
3/7/2020,Rajkot,0,19.7,37.8,385,26,Warning,-44.9,1.3,46.2
3/8/2020,Rajkot,0,19.85,33.3,385,26,Warning,-44.9,1.3,46.2
3/9/2020,Rajkot,0,19.48,36.6,385,26,Warning,-44.9,1.3,46.2
3/10/2020,Rajkot,0,19.75,36.7,385,26,Warning,-44.9,1.3,46.2
3/11/2020,Rajkot,0,20.84,29.9,385,26,Critical,-44.9,1.3,46.2
3/12/2020,Rajkot,0,19.51,34.4,385,26,Warning,-44.9,1.3,46.2
3/13/2020,Rajkot,0,20.17,32.5,385,26,Critical,-44.9,1.3,46.2
3/14/2020,Rajkot,0,19.95,27.7,385,26,Warning,-44.9,1.3,46.2
3/15/2020,Rajkot,0,19.91,34.7,385,26,Warning,-44.9,1.3,46.2
3/16/2020,Rajkot,0,20.59,32,385,26,Critical,-44.9,1.3,46.2
3/17/2020,Rajkot,0,19.39,34.4,385,26,Warning,-44.9,1.3,46.2
3/18/2020,Rajkot,0,20.8,30.5,385,26,Critical,-44.9,1.3,46.2
3/19/2020,Rajkot,0,19.03,29.2,385,26,Warning,-44.9,1.3,46.2
3/20/2020,Rajkot,0,20.38,35.1,385,26,Critical,-44.9,1.3,46.2
3/21/2020,Rajkot,0,19.81,28.8,385,26,Warning,-44.9,1.3,46.2
3/22/2020,Rajkot,0,19.75,43,385,26,Warning,-44.9,1.3,46.2
3/23/2020,Rajkot,0,20.11,35.7,385,26,Critical,-44.9,1.3,46.2
3/24/2020,Rajkot,0,19.8,36.7,385,26,Warning,-44.9,1.3,46.2
3/25/2020,Rajkot,0,19.84,26.8,385,26,Warning,-44.9,1.3,46.2
3/26/2020,Rajkot,0,19.83,34.9,385,26,Warning,-44.9,1.3,46.2
3/27/2020,Rajkot,0,20.41,31.8,385,26,Critical,-44.9,1.3,46.2
3/28/2020,Rajkot,0,20.27,28.6,385,26,Critical,-44.9,1.3,46.2
3/29/2020,Rajkot,0,19.7,32.7,385,26,Warning,-44.9,1.3,46.2
3/30/2020,Rajkot,0,20.01,28.8,385,26,Critical,-44.9,1.3,46.2
3/31/2020,Rajkot,0,20.55,38,385,26,Critical,-44.9,1.3,46.2
4/1/2020,Rajkot,0,19.78,27.8,385,26,Warning,-44.9,1.3,46.2
4/2/2020,Rajkot,0,20.08,33.1,385,26,Critical,-44.9,1.3,46.2
4/3/2020,Rajkot,0,20.33,26.1,385,26,Critical,-44.9,1.3,46.2
4/4/2020,Rajkot,0,19.82,31.3,385,26,Warning,-44.9,1.3,46.2
4/5/2020,Rajkot,0,21.01,38,385,26,Critical,-44.9,1.3,46.2
4/6/2020,Rajkot,0,20.93,39.5,385,26,Critical,-44.9,1.3,46.2
4/7/2020,Rajkot,0,20.05,38.4,385,26,Critical,-44.9,1.3,46.2
4/8/2020,Rajkot,0,20.92,35.7,385,26,Critical,-44.9,1.3,46.2
4/9/2020,Rajkot,0,19.71,33.8,385,26,Warning,-44.9,1.3,46.2
4/10/2020,Rajkot,0,19.89,38,385,26,Warning,-44.9,1.3,46.2
4/11/2020,Rajkot,0,19.89,32.4,385,26,Warning,-44.9,1.3,46.2
4/12/2020,Rajkot,0,19.57,31,385,26,Warning,-44.9,1.3,46.2
4/13/2020,Rajkot,0,20.47,36,385,26,Critical,-44.9,1.3,46.2
4/14/2020,Rajkot,0,19.32,29,385,26,Warning,-44.9,1.3,46.2
4/15/2020,Rajkot,0,20.11,36.2,385,26,Critical,-44.9,1.3,46.2
4/16/2020,Rajkot,0,19.52,32.2,385,26,Warning,-44.9,1.3,46.2
4/17/2020,Rajkot,0,19.66,28.8,385,26,Warning,-44.9,1.3,46.2
4/18/2020,Rajkot,0,19.44,29.2,385,26,Warning,-44.9,1.3,46.2
4/19/2020,Rajkot,0,20.3,32.3,385,26,Critical,-44.9,1.3,46.2
4/20/2020,Rajkot,0,19.54,28.6,385,26,Warning,-44.9,1.3,46.2
4/21/2020,Rajkot,0,20.42,27.8,385,26,Critical,-44.9,1.3,46.2
4/22/2020,Rajkot,0,19.99,29.9,385,26,Warning,-44.9,1.3,46.2
4/23/2020,Rajkot,0,19.63,30.9,385,26,Warning,-44.9,1.3,46.2
4/24/2020,Rajkot,0,19.17,29.8,385,26,Warning,-44.9,1.3,46.2
4/25/2020,Rajkot,0,19.04,31.3,385,26,Warning,-44.9,1.3,46.2
4/26/2020,Rajkot,0,19.61,33.2,385,26,Warning,-44.9,1.3,46.2
4/27/2020,Rajkot,0,19.01,32.2,385,26,Warning,-44.9,1.3,46.2
4/28/2020,Rajkot,0,19.28,21.4,385,26,Warning,-44.9,1.3,46.2
4/29/2020,Rajkot,0,19.16,41.3,385,26,Warning,-44.9,1.3,46.2
4/30/2020,Rajkot,0,19.22,27.5,385,26,Warning,-44.9,1.3,46.2
5/1/2020,Rajkot,3.2,18.62,28.6,385,26,Warning,-44.58,1.62,46.2
5/2/2020,Rajkot,0,19.65,31.8,385,26,Warning,-44.9,1.3,46.2
5/3/2020,Rajkot,0,18.92,34.3,385,26,Warning,-44.9,1.3,46.2
5/4/2020,Rajkot,0,18.78,25.4,385,26,Warning,-44.9,1.3,46.2
5/5/2020,Rajkot,3.5,19.3,22.5,385,26,Warning,-44.55,1.65,46.2
5/6/2020,Rajkot,1.1,19.35,26.4,385,26,Warning,-44.79,1.41,46.2
5/7/2020,Rajkot,0,18.44,28,385,26,Warning,-44.9,1.3,46.2
5/8/2020,Rajkot,0,19.32,30.8,385,26,Warning,-44.9,1.3,46.2
5/9/2020,Rajkot,0,19.52,27.3,385,26,Warning,-44.9,1.3,46.2
5/10/2020,Rajkot,0,19.79,29.2,385,26,Warning,-44.9,1.3,46.2
5/11/2020,Rajkot,0,19.41,29.6,385,26,Warning,-44.9,1.3,46.2
5/12/2020,Rajkot,0,19.24,22.5,385,26,Warning,-44.9,1.3,46.2
5/13/2020,Rajkot,0,18.73,28.3,385,26,Warning,-44.9,1.3,46.2
5/14/2020,Rajkot,0,18.28,34.1,385,26,Warning,-44.9,1.3,46.2
5/15/2020,Rajkot,0,19.14,25.3,385,26,Warning,-44.9,1.3,46.2
5/16/2020,Rajkot,0,19.34,22.6,385,26,Warning,-44.9,1.3,46.2
5/17/2020,Rajkot,0,18.85,30.2,385,26,Warning,-44.9,1.3,46.2
5/18/2020,Rajkot,0,17.63,24.7,385,26,Warning,-44.9,1.3,46.2
5/19/2020,Rajkot,0,18.47,19.7,385,26,Warning,-44.9,1.3,46.2
5/20/2020,Rajkot,0,18.07,20.2,385,26,Warning,-44.9,1.3,46.2
5/21/2020,Rajkot,0,18.26,27.9,385,26,Warning,-44.9,1.3,46.2
5/22/2020,Rajkot,0,18.41,30.8,385,26,Warning,-44.9,1.3,46.2
5/23/2020,Rajkot,0,18.08,34.5,385,26,Warning,-44.9,1.3,46.2
5/24/2020,Rajkot,0,17.81,35.1,385,26,Warning,-44.9,1.3,46.2
5/25/2020,Rajkot,0,18.16,27,385,26,Warning,-44.9,1.3,46.2
5/26/2020,Rajkot,0,18.52,26.6,385,26,Warning,-44.9,1.3,46.2
5/27/2020,Rajkot,0,18.29,21,385,26,Warning,-44.9,1.3,46.2
5/28/2020,Rajkot,0,18.09,27.1,385,26,Warning,-44.9,1.3,46.2
5/29/2020,Rajkot,0,16.89,31.6,385,26,Warning,-44.9,1.3,46.2
5/30/2020,Rajkot,0,17.54,34.6,385,26,Warning,-44.9,1.3,46.2
5/31/2020,Rajkot,0,16.98,25.7,385,26,Warning,-44.9,1.3,46.2
6/1/2020,Rajkot,6.8,17.72,49.9,385,26,Warning,-44.22,1.98,46.2
6/2/2020,Rajkot,67.5,17.12,51.2,385,26,Warning,-38.15,8.05,46.2
6/3/2020,Rajkot,36.5,17.02,51,385,26,Warning,-41.25,4.95,46.2
6/4/2020,Rajkot,0,17.04,49.8,385,26,Warning,-44.9,1.3,46.2
6/5/2020,Rajkot,15.7,17.4,62.8,385,26,Warning,-43.33,2.87,46.2
6/6/2020,Rajkot,13.4,17.99,50.9,385,26,Warning,-43.56,2.64,46.2
6/7/2020,Rajkot,13.3,17.71,48.1,385,26,Warning,-43.57,2.63,46.2
6/8/2020,Rajkot,0,15.94,52.4,385,26,Warning,-44.9,1.3,46.2
6/9/2020,Rajkot,23.9,16.8,52,385,26,Warning,-42.51,3.69,46.2
6/10/2020,Rajkot,0,16.76,55.1,385,26,Warning,-44.9,1.3,46.2
6/11/2020,Rajkot,43.1,16.71,57.8,385,26,Warning,-40.59,5.61,46.2
6/12/2020,Rajkot,0,16.72,44.5,385,26,Warning,-44.9,1.3,46.2
6/13/2020,Rajkot,0,16.61,51.8,385,26,Warning,-44.9,1.3,46.2
6/14/2020,Rajkot,27.6,16.23,59.9,385,26,Warning,-42.14,4.06,46.2
6/15/2020,Rajkot,18,16.7,46.3,385,26,Warning,-43.1,3.1,46.2
6/16/2020,Rajkot,0,16.03,50.9,385,26,Warning,-44.9,1.3,46.2
6/17/2020,Rajkot,0,15.97,55.2,385,26,Warning,-44.9,1.3,46.2
6/18/2020,Rajkot,0,15.02,52.9,385,26,Warning,-44.9,1.3,46.2
6/19/2020,Rajkot,62.7,16.59,46.6,385,26,Warning,-38.63,7.57,46.2
6/20/2020,Rajkot,0,15.87,51,385,26,Warning,-44.9,1.3,46.2
6/21/2020,Rajkot,8.9,15.97,51.8,385,26,Warning,-44.01,2.19,46.2
6/22/2020,Rajkot,0,16.05,52.6,385,26,Warning,-44.9,1.3,46.2
6/23/2020,Rajkot,0,15.63,53.7,385,26,Warning,-44.9,1.3,46.2
6/24/2020,Rajkot,10.3,15.09,54.2,385,26,Warning,-43.87,2.33,46.2
6/25/2020,Rajkot,20.2,14.68,52.9,385,26,Warning,-42.88,3.32,46.2
6/26/2020,Rajkot,27.5,16.32,52.3,385,26,Warning,-42.15,4.05,46.2
6/27/2020,Rajkot,77.1,15.22,54.4,385,26,Warning,-37.19,9.01,46.2
6/28/2020,Rajkot,13.3,13.81,58.9,385,26,Warning,-43.57,2.63,46.2
6/29/2020,Rajkot,7.6,15.49,55.1,385,26,Warning,-44.14,2.06,46.2
6/30/2020,Rajkot,14.9,14.29,49.8,385,26,Warning,-43.41,2.79,46.2
7/1/2020,Rajkot,16.4,15.28,58.3,385,26,Warning,-43.26,2.94,46.2
7/2/2020,Rajkot,16.4,15.59,58.7,385,26,Warning,-43.26,2.94,46.2
7/3/2020,Rajkot,39.6,14.64,56.3,385,26,Warning,-40.94,5.26,46.2
7/4/2020,Rajkot,5.8,14.45,64.5,385,26,Warning,-44.32,1.88,46.2
7/5/2020,Rajkot,27.1,14.2,64.4,385,26,Warning,-42.19,4.01,46.2
7/6/2020,Rajkot,0,15.11,54.8,385,26,Warning,-44.9,1.3,46.2
7/7/2020,Rajkot,31.7,14.44,58.9,385,26,Warning,-41.73,4.47,46.2
7/8/2020,Rajkot,0,13.04,53.1,385,26,Warning,-44.9,1.3,46.2
7/9/2020,Rajkot,16.5,14.71,59.1,385,26,Warning,-43.25,2.95,46.2
7/10/2020,Rajkot,0,14.5,47.3,385,26,Warning,-44.9,1.3,46.2
7/11/2020,Rajkot,8.7,14.96,51.8,385,26,Warning,-44.03,2.17,46.2
7/12/2020,Rajkot,0,14.16,61.4,385,26,Warning,-44.9,1.3,46.2
7/13/2020,Rajkot,2.1,13.89,53.3,385,26,Warning,-44.69,1.51,46.2
7/14/2020,Rajkot,9.4,13.36,63.8,385,26,Warning,-43.96,2.24,46.2
7/15/2020,Rajkot,4.6,13.62,52,385,26,Warning,-44.44,1.76,46.2
7/16/2020,Rajkot,0,13.53,51.8,385,26,Warning,-44.9,1.3,46.2
7/17/2020,Rajkot,28.2,14.37,61.4,385,26,Warning,-42.08,4.12,46.2
7/18/2020,Rajkot,84.3,12.2,58.5,385,26,Warning,-36.47,9.73,46.2
7/19/2020,Rajkot,5.9,12.9,54.1,385,26,Warning,-44.31,1.89,46.2
7/20/2020,Rajkot,31.3,13.16,46.6,385,26,Warning,-41.77,4.43,46.2
7/21/2020,Rajkot,44.6,12.52,59.4,385,26,Warning,-40.44,5.76,46.2
7/22/2020,Rajkot,5.7,13.52,57.6,385,26,Warning,-44.33,1.87,46.2
7/23/2020,Rajkot,12.4,12.69,66.3,385,26,Warning,-43.66,2.54,46.2
7/24/2020,Rajkot,10.2,13.79,56.4,385,26,Warning,-43.88,2.32,46.2
7/25/2020,Rajkot,18,13.62,58.2,385,26,Warning,-43.1,3.1,46.2
7/26/2020,Rajkot,21.7,13.37,52.3,385,26,Warning,-42.73,3.47,46.2
7/27/2020,Rajkot,0,12.85,55.6,385,26,Warning,-44.9,1.3,46.2
7/28/2020,Rajkot,3.8,13.19,61.2,385,26,Warning,-44.52,1.68,46.2
7/29/2020,Rajkot,15.8,12.66,54.1,385,26,Warning,-43.32,2.88,46.2
7/30/2020,Rajkot,34.4,12.71,58.1,385,26,Warning,-41.46,4.74,46.2
7/31/2020,Rajkot,7,11.87,55,385,26,Warning,-44.2,2,46.2
8/1/2020,Rajkot,10.4,11.71,56.7,385,26,Warning,-43.86,2.34,46.2
8/2/2020,Rajkot,21,12.06,61.9,385,26,Warning,-42.8,3.4,46.2
8/3/2020,Rajkot,12.8,12.47,58.9,385,26,Warning,-43.62,2.58,46.2
8/4/2020,Rajkot,14.2,12.29,55.4,385,26,Warning,-43.48,2.72,46.2
8/5/2020,Rajkot,0,11.6,58.5,385,26,Warning,-44.9,1.3,46.2
8/6/2020,Rajkot,4.8,11.45,53.5,385,26,Warning,-44.42,1.78,46.2
8/7/2020,Rajkot,7.4,12.05,65.8,385,26,Warning,-44.16,2.04,46.2
8/8/2020,Rajkot,6.2,11.7,62.8,385,26,Warning,-44.28,1.92,46.2
8/9/2020,Rajkot,5.4,12.59,54,385,26,Warning,-44.36,1.84,46.2
8/10/2020,Rajkot,15.7,12,57.4,385,26,Warning,-43.33,2.87,46.2
8/11/2020,Rajkot,26,11.15,56.4,385,26,Warning,-42.3,3.9,46.2
8/12/2020,Rajkot,11.2,11.1,60.2,385,26,Warning,-43.78,2.42,46.2
8/13/2020,Rajkot,9.3,11.09,62.7,385,26,Warning,-43.97,2.23,46.2
8/14/2020,Rajkot,2.2,11.4,56.5,385,26,Warning,-44.68,1.52,46.2
8/15/2020,Rajkot,10.1,11.48,61.7,385,26,Warning,-43.89,2.31,46.2
8/16/2020,Rajkot,22.1,11.08,60.9,385,26,Warning,-42.69,3.51,46.2
8/17/2020,Rajkot,0,10.59,60.4,385,26,Warning,-44.9,1.3,46.2
8/18/2020,Rajkot,13.5,11.24,64,385,26,Warning,-43.55,2.65,46.2
8/19/2020,Rajkot,9.2,11.55,56,385,26,Warning,-43.98,2.22,46.2
8/20/2020,Rajkot,5.7,11.5,61.7,385,26,Warning,-44.33,1.87,46.2
8/21/2020,Rajkot,20.5,11.24,61,385,26,Warning,-42.85,3.35,46.2
8/22/2020,Rajkot,0,10.69,55.1,385,26,Warning,-44.9,1.3,46.2
8/23/2020,Rajkot,15.7,11.03,61.8,385,26,Warning,-43.33,2.87,46.2
8/24/2020,Rajkot,0,9.56,66.9,385,26,Warning,-44.9,1.3,46.2
8/25/2020,Rajkot,6,10.69,61.6,385,26,Warning,-44.3,1.9,46.2
8/26/2020,Rajkot,0,9.88,59.1,385,26,Warning,-44.9,1.3,46.2
8/27/2020,Rajkot,0,10.26,67.5,385,26,Warning,-44.9,1.3,46.2
8/28/2020,Rajkot,2.5,11.29,58.1,385,26,Warning,-44.65,1.55,46.2
8/29/2020,Rajkot,36.2,11.28,61.4,385,26,Warning,-41.28,4.92,46.2
8/30/2020,Rajkot,0,10.04,66,385,26,Warning,-44.9,1.3,46.2
8/31/2020,Rajkot,9.3,10.96,57.9,385,26,Warning,-43.97,2.23,46.2
9/1/2020,Rajkot,25.4,10.87,70.6,385,26,Warning,-42.36,3.84,46.2
9/2/2020,Rajkot,27,10.33,60,385,26,Warning,-42.2,4,46.2
9/3/2020,Rajkot,9.5,10.84,67.1,385,26,Warning,-43.95,2.25,46.2
9/4/2020,Rajkot,0,10.11,71.1,385,26,Warning,-44.9,1.3,46.2
9/5/2020,Rajkot,7.5,10.32,61.7,385,26,Warning,-44.15,2.05,46.2
9/6/2020,Rajkot,39.8,10.43,59,385,26,Warning,-40.92,5.28,46.2
9/7/2020,Rajkot,4.2,11.31,56.1,385,26,Warning,-44.48,1.72,46.2
9/8/2020,Rajkot,9.2,10.06,56.3,385,26,Warning,-43.98,2.22,46.2
9/9/2020,Rajkot,21.1,10.73,62.9,385,26,Warning,-42.79,3.41,46.2
9/10/2020,Rajkot,10.5,11.15,66.6,385,26,Warning,-43.85,2.35,46.2
9/11/2020,Rajkot,0,10.88,64.4,385,26,Warning,-44.9,1.3,46.2
9/12/2020,Rajkot,35,9.6,66.4,385,26,Warning,-41.4,4.8,46.2
9/13/2020,Rajkot,15.8,8.69,51.8,385,26,Warning,-43.32,2.88,46.2
9/14/2020,Rajkot,5.1,11.05,58.3,385,26,Warning,-44.39,1.81,46.2
9/15/2020,Rajkot,8,10.3,59.9,385,26,Warning,-44.1,2.1,46.2
9/16/2020,Rajkot,34.8,8.67,72.5,385,26,Warning,-41.42,4.78,46.2
9/17/2020,Rajkot,18.9,10.1,73.1,385,26,Warning,-43.01,3.19,46.2
9/18/2020,Rajkot,1,9.79,69.7,385,26,Warning,-44.8,1.4,46.2
9/19/2020,Rajkot,31.6,10.73,62.4,385,26,Warning,-41.74,4.46,46.2
9/20/2020,Rajkot,37.8,9.92,58.4,385,26,Warning,-41.12,5.08,46.2
9/21/2020,Rajkot,30.5,11.21,61.3,385,26,Warning,-41.85,4.35,46.2
9/22/2020,Rajkot,9.2,9.7,57.2,385,26,Warning,-43.98,2.22,46.2
9/23/2020,Rajkot,0,10.02,66.8,385,26,Warning,-44.9,1.3,46.2
9/24/2020,Rajkot,17.7,9.95,61.7,385,26,Warning,-43.13,3.07,46.2
9/25/2020,Rajkot,0,10.3,59,385,26,Warning,-44.9,1.3,46.2
9/26/2020,Rajkot,0,9.68,60.5,385,26,Warning,-44.9,1.3,46.2
9/27/2020,Rajkot,23.7,10.27,55.3,385,26,Warning,-42.53,3.67,46.2
9/28/2020,Rajkot,7.9,9.64,61.6,385,26,Warning,-44.11,2.09,46.2
9/29/2020,Rajkot,36.6,10.85,67.8,385,26,Warning,-41.24,4.96,46.2
9/30/2020,Rajkot,7,10.33,65.5,385,26,Warning,-44.2,2,46.2
10/1/2020,Rajkot,0,9.84,20.5,385,26,Warning,-44.9,1.3,46.2
10/2/2020,Rajkot,3.2,9.81,11.7,385,26,Warning,-44.58,1.62,46.2
10/3/2020,Rajkot,0,10.02,16.5,385,26,Warning,-44.9,1.3,46.2
10/4/2020,Rajkot,0,10.07,21.4,385,26,Warning,-44.9,1.3,46.2
10/5/2020,Rajkot,0,10.64,23.9,385,26,Warning,-44.9,1.3,46.2
10/6/2020,Rajkot,0,9.7,10.8,385,26,Warning,-44.9,1.3,46.2
10/7/2020,Rajkot,0,9.49,17.8,385,26,Warning,-44.9,1.3,46.2
10/8/2020,Rajkot,1.4,9.48,19.8,385,26,Warning,-44.76,1.44,46.2
10/9/2020,Rajkot,0,9.82,16,385,26,Warning,-44.9,1.3,46.2
10/10/2020,Rajkot,0,10.44,16.6,385,26,Warning,-44.9,1.3,46.2
10/11/2020,Rajkot,0,10.33,18.2,385,26,Warning,-44.9,1.3,46.2
10/12/2020,Rajkot,0,9.26,19.4,385,26,Warning,-44.9,1.3,46.2
10/13/2020,Rajkot,0,10.33,17.8,385,26,Warning,-44.9,1.3,46.2
10/14/2020,Rajkot,0,9.56,10,385,26,Warning,-44.9,1.3,46.2
10/15/2020,Rajkot,0,10.34,24,385,26,Warning,-44.9,1.3,46.2
10/16/2020,Rajkot,0,10.17,29.1,385,26,Warning,-44.9,1.3,46.2
10/17/2020,Rajkot,0,10.68,14.9,385,26,Warning,-44.9,1.3,46.2
10/18/2020,Rajkot,0,10.73,11.4,385,26,Warning,-44.9,1.3,46.2
10/19/2020,Rajkot,0,10.68,8.1,385,26,Warning,-44.9,1.3,46.2
10/20/2020,Rajkot,0,9.79,9.5,385,26,Warning,-44.9,1.3,46.2
10/21/2020,Rajkot,0,10.67,13,385,26,Warning,-44.9,1.3,46.2
10/22/2020,Rajkot,0,10.9,22,385,26,Warning,-44.9,1.3,46.2
10/23/2020,Rajkot,0,9.38,22.2,385,26,Warning,-44.9,1.3,46.2
10/24/2020,Rajkot,0,10.19,20.5,385,26,Warning,-44.9,1.3,46.2
10/25/2020,Rajkot,2.8,10.74,20.4,385,26,Warning,-44.62,1.58,46.2
10/26/2020,Rajkot,0,11.6,8.4,385,26,Warning,-44.9,1.3,46.2
10/27/2020,Rajkot,0,9.9,16.3,385,26,Warning,-44.9,1.3,46.2
10/28/2020,Rajkot,0,10.78,20.3,385,26,Warning,-44.9,1.3,46.2
10/29/2020,Rajkot,0.8,10.94,5.9,385,26,Warning,-44.82,1.38,46.2
10/30/2020,Rajkot,0,10.85,14.1,385,26,Warning,-44.9,1.3,46.2
10/31/2020,Rajkot,0,10.38,8.7,385,26,Warning,-44.9,1.3,46.2
11/1/2020,Rajkot,0,10.54,13,385,26,Warning,-44.9,1.3,46.2
11/2/2020,Rajkot,0,10.72,20.8,385,26,Warning,-44.9,1.3,46.2
11/3/2020,Rajkot,0,10.53,19.1,385,26,Warning,-44.9,1.3,46.2
11/4/2020,Rajkot,0,10.7,11.3,385,26,Warning,-44.9,1.3,46.2
11/5/2020,Rajkot,0,11.57,22,385,26,Warning,-44.9,1.3,46.2
